id,name,salary
158,Justina Basham,1580000
159,Dennis Shaw,1590000
160,Jacqueline Johnson,1600000
161,Andrew Myers,1610000
162,Gene Vance,1620000
163,Norberto Katz,1630000
164,Nathan Grey,1640000
165,Gary Arrington,1650000
166,Ronda Wiggains,1660000
167,Cassaundra Lee,1670000
168,Adrian Reid,1680000
169,Emerson Savage,1690000
170,Norma Micale,1700000
171,Deborah Gaudreau,1710000
172,Debra Burke,1720000
173,Michael Mitchell,1730000
174,Keith Curtis,1740000
175,Janene Murphy,1750000
176,Gregory Sanford,1760000
177,Laurie Mobley,1770000
178,Ina Votta,1780000
179,Steven Beacham,1790000
180,Michele Mcginnis,1800000
181,Charity Mcnally,1810000
182,Stephanie Shake,1820000
183,Marilyn Tyska,1830000
184,Angela Halley,1840000
185,Annie Olivier,1850000
186,Diane Williams,1860000
187,Shelia Seal,1870000
188,Marilyn Ebel,1880000
189,Robert Denham,1890000
190,Duane Poulsen,1900000
191,Cheryl Pokora,1910000
192,Frances Wilson,1920000
193,John Isaacs,1930000
194,Richard Jones,1940000
195,Shelia Egan,1950000
196,Charles Reed,1960000
197,Bobby Benson,1970000
198,Frances Basquez,1980000
199,Kenneth Baker,1990000
200,Patricia Edmunds,2000000
201,Cynthia Alves,2010000
202,Michael Ledon,2020000
203,Dorothy Vargas,2030000
204,Joe Mckenzie,2040000
205,Michelle Kroetch,2050000
206,Patricia Leiker,2060000
207,Marie Verity,2070000
208,Sheri Sliger,2080000
209,Emily Hepburn,2090000
210,Gwen Lundholm,2100000
211,Pamela Wooldridge,2110000
212,Lucille Stone,2120000
213,Debra Minjares,2130000
214,Gerard Nelson,2140000
215,Zonia Huynh,2150000
216,Tracy Dunn,2160000
217,James Anderson,2170000
218,Shawn Calhoun,2180000
219,Glen Childress,2190000
220,Lucille Dobos,2200000
221,John Kuhr,2210000
222,Teri Stone,2220000
223,Kelly Glaspie,2230000
224,Era Doak,2240000
225,Mara Khan,2250000
226,Jeanette Hastings,2260000
227,Jason Marlatt,2270000
228,James Stone,2280000
229,Marie Bryand,2290000
230,Todd Mcdonald,2300000
231,Ruby Christian,2310000
232,Timothy Hernandez,2320000
233,Bernice Devries,2330000
234,Luther Edwards,2340000
235,William Weyandt,2350000
236,Claude Hoffman,2360000
237,Ronald Gales,2370000
238,Dolly Bright,2380000
239,Armando Kunst,2390000
240,Donald Carson,2400000
241,Ann Clark,2410000
242,Kevin Parr,2420000
243,Lawrence Christensen,2430000
244,Michael Mullins,2440000
245,Margaret Escobar,2450000
246,Chad Jacobs,2460000
247,Angela Albert,2470000
248,Kimberly Wehausen,2480000
249,Linda Barrentine,2490000
250,Carole Humbert,2500000
251,Dennis Snyder,2510000
252,Rhonda Green,2520000
253,June Johnson,2530000
254,John Duncan,2540000
255,Lydia Alexander,2550000
256,Linda Farley,2560000
257,Paul Campbell,2570000
258,Judy Seward,2580000
259,Cynthia Mccray,2590000
260,Keith Watson,2600000
261,Joseph Rushing,2610000
262,Donnie Collins,2620000
263,Benjamin Jones,2630000
264,Melody Valente,2640000
265,Nicole Wallace,2650000
266,Rachel Verrill,2660000
267,Patrick Hairston,2670000
268,Warren Mccreary,2680000
269,Constance Mcmurray,2690000
270,Shannon Deangelo,2700000
271,Kelly Crouch,2710000
272,Beatrice Smith,2720000
273,Monica Hill,2730000
274,Paul Cox,2740000
275,Henry Klarich,2750000
276,Gregory Lomax,2760000
277,Robert Anderson,2770000
278,Tammy Fromm,2780000
279,Helen Grant,2790000
280,Bernard Cook,2800000
281,Marie Boyne,2810000
282,Diane Fulton,2820000
283,Jack Zimmerman,2830000
284,Karin Taylor,2840000
285,Betty Juergens,2850000
286,Irene Shortino,2860000
287,Pauline Gibson,2870000
288,Andrea Coats,2880000
289,Renee Leonard,2890000
290,Pat Currence,2900000
291,Jessica Greene,2910000
292,Wendy James,2920000
293,Virginia Cam,2930000
294,Joan Russo,2940000
295,Molly Pinkert,2950000
296,William Mills,2960000
297,Donnie Wilson,2970000
298,Benjamin Gier,2980000
299,Thomas Backer,2990000
300,Alison Barahona,3000000
301,John Ash,3010000
302,Donna Kemp,3020000
303,Ann Nichols,3030000
304,Vernon Clark,3040000
305,Debbie Johnson,3050000
306,Stanley Collier,3060000
307,Karen Martin,3070000
308,Lois Wilson,3080000
309,Connie Mccollough,3090000
310,Cynthia Tate,3100000
311,Lidia Maddox,3110000
312,Silas Martinez,3120000
313,Richard Deen,3130000
314,Linda Henry,3140000
315,John Quisenberry,3150000
316,Herman Chui,3160000
317,Anthony Baker,3170000
318,David Winters,3180000
319,Margaret Tidwell,3190000
320,Kate Heller,3200000
321,Phyllis Dunn,3210000
322,Maurice Radtke,3220000
323,Shawn Marshall,3230000
324,Bruce Berman,3240000
325,Myrtle Sisson,3250000
326,Christopher Gregoire,3260000
327,Gertrude Norman,3270000
328,Travis Adams,3280000
329,William Robinson,3290000
330,Jessica Taylor,3300000
331,Christopher Barker,3310000
332,Richard Bailey,3320000
333,Enrique Watts,3330000
334,Melanie Moya,3340000
335,Lawrence Fleming,3350000
336,Betty Taylor,3360000
337,Leon Lavoy,3370000
338,Claudia Grimaldo,3380000
339,Ralph Gonzalez,3390000
340,Myrtle Clifton,3400000
341,Nancy Moore,3410000
342,Wendy Smith,3420000
343,Kenyatta King,3430000
344,Christopher Brady,3440000
345,James Branson,3450000
346,Elizabeth Haines,3460000
347,Jason Roberts,3470000
348,Audra Hamm,3480000
349,Mario Biddick,3490000
350,Edward Skursky,3500000
351,Arthur Giglio,3510000
352,Bert Ellis,3520000
353,Ralph Raper,3530000
354,Matthew Patton,3540000
355,Carol Garcia,3550000
356,Mary Beal,3560000
357,Ronald Merritt,3570000
358,Beth Forgey,3580000
359,Dianne Steik,3590000
360,Eric Weber,3600000
361,Stephanie Powell,3610000
362,Nancy Zapata,3620000
363,Louise Creed,3630000
364,Brooks Wilkinson,3640000
365,Walter Corns,3650000
366,Kenneth Janosek,3660000
367,Lee Harding,3670000
368,Tammie Talbert,3680000
369,Michael Yang,3690000
370,Jamie Colvin,3700000
371,Myrtle Gardner,3710000
372,Andrea Mansfield,3720000
373,Michael Perkins,3730000
374,Cynthia Alford,3740000
375,Charles Nally,3750000
376,Lillian Saucedo,3760000
377,Harry Schmidt,3770000
378,Patricia Donart,3780000
379,Mildred Alliston,3790000
380,Michael Culver,3800000
381,John Muellerleile,3810000
382,Lester Card,3820000
383,Betty Theriault,3830000
384,Ward Toner,3840000
385,Marcus Bermudes,3850000
386,Clyde Thalls,3860000
387,Lori Anderson,3870000
388,Michael Sanchez,3880000
389,Judith Alvarez,3890000
390,Leann Lange,3900000
391,Rhonda Cuthill,3910000
392,William Barnes,3920000
393,Charles Villegas,3930000
394,Alice Sallee,3940000
395,Lawrence Cameron,3950000
396,June Malick,3960000
397,Travis Lee,3970000
398,Sean Richards,3980000
399,Adam Dunn,3990000
400,Pamela Cowan,4000000
401,Darryl Fielder,4010000
402,Antoinette Pardun,4020000
403,Bradley Brown,4030000
404,Deborah Cunningham,4040000
405,Brian Lue,4050000
406,Douglas Wells,4060000
407,Nakia Stanley,4070000
408,Carol Metts,4080000
409,Miriam Webb,4090000
410,Ana Soto,4100000
411,Bonnie Cropsey,4110000
412,Molly Williams,4120000
413,Joseph Valenti,4130000
414,Kori Decker,4140000
415,Carol Franklin,4150000
416,Katherine Sedrakyan,4160000
417,Donna Hertler,4170000
418,Marilyn Kochevar,4180000
419,Sybil Sandifer,4190000
420,James Motte,4200000
421,Donald Folse,4210000
422,Lena Whyms,4220000
423,Pauline Pink,4230000
424,Sheryl Reeder,4240000
425,Marion Hall,4250000
426,Michael Williams,4260000
427,Wallace Langford,4270000
428,Gayle Pensinger,4280000
429,Mary Alexander,4290000
430,Russell Acton,4300000
431,Brandon Sheppard,4310000
432,Betty Parilla,4320000
433,Antonio Ender,4330000
434,Millicent Meek,4340000
435,Susan Watson,4350000
436,Traci Hauck,4360000
437,Tony Volo,4370000
438,Robbin Shyne,4380000
439,Anthony Trammell,4390000
440,Brad Cossey,4400000
441,Alice Boom,4410000
442,Jessie Montilla,4420000
443,Gregory Morris,4430000
444,Rachel Gomez,4440000
445,Fannie Gainey,4450000
446,Alberta Allen,4460000
447,Mary Carpenter,4470000
448,Eva Millay,4480000
449,Betty Fernandez,4490000
450,Della Holloway,4500000
451,Jessica Campbell,4510000
452,William Neal,4520000
453,Jena Allen,4530000
454,Cinthia Larowe,4540000
455,George Ramos,4550000
456,Michael Griswold,4560000
457,Crystal Jackson,4570000
458,Jennifer Bates,4580000
459,David Doe,4590000
460,Chris Venema,4600000
461,Agnes Laskowski,4610000
462,Donna Lewandowski,4620000
463,Debbie Matson,4630000
464,Annie Flannery,4640000
465,Garry Goodell,4650000
466,Andrea Stike,4660000
467,Katie Chamberlin,4670000
468,John Rich,4680000
469,Ahmad Brown,4690000
470,Evelyn Mclaughlin,4700000
471,Georgia Estep,4710000
472,Matt Campbell,4720000
473,James Wangler,4730000
474,Rosa Burchette,4740000
475,Aaron Lopez,4750000
476,John Graf,4760000
477,Kenneth Ash,4770000
478,Mary Jordan,4780000
479,Shannon Albert,4790000
480,Donna Lempke,4800000
481,Fernando Harrison,4810000
482,Max Easter,4820000
483,Norma Bensch,4830000
484,Shawn Ng,4840000
485,Troy Nelson,4850000
486,Felisha Diamond,4860000
487,Ela Knoy,4870000
488,Eve Simpson,4880000
489,Mark Rosenbarger,4890000
490,Johnny Johnston,4900000
491,Demetrius Walker,4910000
492,Javier Epling,4920000
493,Horace Hall,4930000
494,Lois Neira,4940000
495,James Viteri,4950000
496,Deborah Halfhill,4960000
497,Florence Taylor,4970000
498,Irene Tooley,4980000
499,Hector Harper,4990000
500,Hipolito Couley,5000000
501,Angie Pullum,5010000
502,Francis Samaniego,5020000
503,Ed Mance,5030000
504,Marisol Lowe,5040000
505,Marilyn Stefanski,5050000
506,Benjamin Godfrey,5060000
507,Barbara Villanueva,5070000
508,Dana Raines,5080000
509,Odette Bradford,5090000
510,Leontine Steele,5100000
511,Daniel Weddington,5110000
512,Susan Donahue,5120000
513,Meredith Folkers,5130000
514,Michael Moore,5140000
515,Peter Dennis,5150000
516,Maria Pralle,5160000
517,Gerald Carney,5170000
518,Louise Crim,5180000
519,Flor Kerr,5190000
520,Mabel Chiapetti,5200000
521,Bonnie Miller,5210000
522,Hazel Mccormick,5220000
523,Delores Stephenson,5230000
524,David Hale,5240000
525,David Bauer,5250000
526,Nicole Cardinal,5260000
527,Timothy Lacher,5270000
528,Angela Archambault,5280000
529,Derek Burgess,5290000
530,Vonnie Davidson,5300000
531,Johnnie Goebel,5310000
532,Monique Estes,5320000
533,Amanda Carlton,5330000
534,Kris Hogg,5340000
535,Gary Devens,5350000
536,Ernest Liesmann,5360000
537,Eugene Esposito,5370000
538,Jason Lucas,5380000
539,Jesus Glanton,5390000
540,Francisca Toothman,5400000
541,Michelle Livingston,5410000
542,Woodrow Grubbs,5420000
543,Steven Chronister,5430000
544,Darrell Chiasson,5440000
545,Peter Mcgraw,5450000
546,Minnie Timmerman,5460000
547,Marilyn Troxell,5470000
548,Diane Kitchel,5480000
549,Elliott Geiger,5490000
550,Dante Brooks,5500000
551,Mary Forbus,5510000
552,Tamara Moses,5520000
553,Ronald Jones,5530000
554,Jason Clayton,5540000
555,Mary Murray,5550000
556,Debbie Walsh,5560000
557,Mary Sola,5570000
558,Susann Hyde,5580000
559,Fredia Pratt,5590000
560,Carla Mason,5600000
561,Jeramy Utley,5610000
562,Ursula Sheffer,5620000
563,Henry Iverson,5630000
564,Timothy Keller,5640000
565,Owen Flynn,5650000
566,Elizabeth Ospina,5660000
567,Richard Shearer,5670000
568,Troy Davis,5680000
569,Rose Musante,5690000
570,Paul Sloan,5700000
571,John Kryst,5710000
572,Ernest Davis,5720000
573,Susanne Myrick,5730000
574,Jesse Murphy,5740000
575,John Johnson,5750000
576,Marcella Noe,5760000
577,Frank Krebs,5770000
578,Donald Foust,5780000
579,Carol Perez,5790000
580,Dorothy Stellmacher,5800000
581,Hector Cochran,5810000
582,Michelle Lozano,5820000
583,Zachary Range,5830000
584,Chris Brown,5840000
585,Lillian Perrington,5850000
586,Harlan Schlegel,5860000
587,David Wison,5870000
588,Sharon White,5880000
589,Diana Underwood,5890000
590,Prudence Bussen,5900000
591,Sophia Bailey,5910000
592,Vera Garmon,5920000
593,Jennifer Martinez,5930000
594,George Harnden,5940000
595,Lidia Nickel,5950000
596,Barbara Riddick,5960000
597,James Hancock,5970000
598,Frank Farrington,5980000
599,Jerold Sneed,5990000
600,Cecil Wassermann,6000000
601,David Crawford,6010000
602,Kathy Tye,6020000
603,Alma Bryant,6030000
604,Marybeth Vandre,6040000
605,Sandra Humphreys,6050000
606,Patricia Gallion,6060000
607,Douglas Godsey,6070000
608,Kathy Harper,6080000
609,Susan Peterson,6090000
610,Tammy Folks,6100000
611,Susan Rosario,6110000
612,Ben Thompson,6120000
613,Tyrone Devoe,6130000
614,Daniel Grammer,6140000
615,Philip Summers,6150000
616,Jean Dejulio,6160000
617,Dylan Dempsey,6170000
618,Margurite Stratton,6180000
619,Norman Armand,6190000
620,Sandra Barker,6200000
621,Deborah Bell,6210000
622,Erica Busch,6220000
623,Sandra Rodriguez,6230000
624,Jesse Harris,6240000
625,Shannon Wellman,6250000
626,Liz Brown,6260000
627,Margaret Dutra,6270000
628,Cathy Boyd,6280000
629,Roberta Weintraub,6290000
630,June Talbert,6300000
631,Marvin Brandt,6310000
632,Victor Driver,6320000
633,Jannette Glazier,6330000
634,Delores Bernstein,6340000
635,Ethel Rens,6350000
636,Bobby Littlejohn,6360000
637,Linda Lewis,6370000
638,Rosemary Simpson,6380000
639,Vivian Small,6390000
640,Troy Peterson,6400000
641,Maria Alvarez,6410000
642,Jeffrey Young,6420000
643,Sally Muto,6430000
644,James Skursky,6440000
645,Alan Graham,6450000
646,Michele Cook,6460000
647,Eugenio Parker,6470000
648,Juanita Lindgren,6480000
649,Phillip Martin,6490000
650,Andrew Mcquaid,6500000
651,Rebekah Najera,6510000
652,Linda Fischer,6520000
653,Teresa Kou,6530000
654,Patrick Tafoya,6540000
655,Lisa Buddenhagen,6550000
656,Julia Leyva,6560000
657,Joanne Dewispelaere,6570000
658,Stephen Gilles,6580000
659,Manuel Franklin,6590000
660,Francisco Gorman,6600000
661,Cynthia Sutphin,6610000
662,Joe Burrage,6620000
663,Tommie Spitz,6630000
664,Yvonne Bellantoni,6640000
665,Charles Olson,6650000
666,Donna Carlin,6660000
667,William Costanza,6670000
668,Robert Bellomy,6680000
669,Anthony Thomason,6690000
670,David Jones,6700000
671,Philip Larsen,6710000
672,Alexander Petitti,6720000
673,Christopher Gavin,6730000
674,Kathy Encallado,6740000
675,Shirley Bryson,6750000
676,Alexander Schmidt,6760000
677,Mary Baxter,6770000
678,Edward Gordon,6780000
679,Dave Joyce,6790000
680,Florence Pugh,6800000
681,Meaghan Solis,6810000
682,Kristin Lopez,6820000
683,John King,6830000
684,Anthony Franks,6840000
685,Misty Roberts,6850000
686,Maggie Deuell,6860000
687,Gregory Littlewood,6870000
688,Robert Maslow,6880000
689,Stephen Stalcup,6890000
690,Craig Hutcherson,6900000
691,Peggy Burnett,6910000
692,Joseph Miller,6920000
693,Linda Elwick,6930000
694,Andrea Foster,6940000
695,Chris Bishop,6950000
696,Lynette Oritz,6960000
697,Pearl Gomez,6970000
698,Harold Collins,6980000
699,Patricia Gustafson,6990000
700,Ashley Franklin,7000000
701,Lisa Harris,7010000
702,Ethel Sammartino,7020000
703,Ed Oslund,7030000
704,Jaime Moore,7040000
705,Harvey Plante,7050000
706,Michael Ledford,7060000
707,David Riles,7070000
708,George Montano,7080000
709,Rickey Pospisil,7090000
710,Hope Livingston,7100000
711,Jacqueline Galloway,7110000
712,Louisa Herman,7120000
713,Mark Kenner,7130000
714,Whitney Elliott,7140000
715,Nancy Lamb,7150000
716,George Phillips,7160000
717,Mario Dubose,7170000
718,Glenda Robins,7180000
719,Wilda Coachman,7190000
720,Joseph Church,7200000
721,James Dumas,7210000
722,Pete Zahner,7220000
723,Megan Edwards,7230000
724,Karen Mellott,7240000
725,James Thomas,7250000
726,Tina Desantiago,7260000
727,John Nest,7270000
728,Joseph Reyes,7280000
729,Herbert Valera,7290000
730,Pamela Walker,7300000
731,Sonja King,7310000
732,Randy Rose,7320000
733,Sherita Johnson,7330000
734,Brenda Estrada,7340000
735,David Guy,7350000
736,Tami Bright,7360000
737,Vicki Leo,7370000
738,Kelly Mcnab,7380000
739,Wayne Sherman,7390000
740,Sean Streicher,7400000
741,Fernando Lucero,7410000
742,Phoebe Relf,7420000
743,Sandra Simpson,7430000
744,Hazel Collins,7440000
745,Michael Clarke,7450000
746,Lisa Smith,7460000
747,Frances Williams,7470000
748,Sam Scheele,7480000
749,Esther Sisk,7490000
750,Chad Niss,7500000
751,James Toothaker,7510000
752,Lester Eichorn,7520000
753,Tracey Veach,7530000
754,Lisa Olvera,7540000
755,Jeff Moore,7550000
756,Michelle Campbell,7560000
757,Debbie Williams,7570000
758,David Cantu,7580000
759,Ann Addie,7590000
760,David Foster,7600000
761,Charles Acord,7610000
762,Angela Halasz,7620000
763,Lawrence Shanholtzer,7630000
764,Willette Castro,7640000
765,Juanita Gayne,7650000
766,Claude Dunlap,7660000
767,Corina Gibson,7670000
768,Steven Duffy,7680000
769,Janina Simmons,7690000
770,Gayle Rose,7700000
771,Sharon Franco,7710000
772,Virginia Kervin,7720000
773,Gerry Couture,7730000
774,Nannie Graham,7740000
775,Adrian Mason,7750000
776,Eric Trueman,7760000
777,John Hunt,7770000
778,Javier Hong,7780000
779,Rosanna Isabell,7790000
780,David Preslipsky,7800000
781,Joseph Garske,7810000
782,Rita Calvert,7820000
783,Nancy Hooks,7830000
784,Justin Wingham,7840000
785,Chelsea Paskett,7850000
786,Kevin Riggins,7860000
787,Donald Thompson,7870000
788,Timothy Stahl,7880000
789,Luis Wickus,7890000
790,Lila Baker,7900000
791,Jane Killam,7910000
792,Amy Clark,7920000
793,Harriette Brooks,7930000
794,Richard Middleton,7940000
795,Andrew Mcdowell,7950000
796,Susan Ford,7960000
797,Michael Holman,7970000
798,Nathaniel Peno,7980000
799,Donald Knight,7990000
800,David Pullins,8000000
801,Yvonne Moore,8010000
802,Johnny Hague,8020000
803,Tabitha Lesnick,8030000
804,Linda Bowden,8040000
805,Frankie Watson,8050000
806,Constance Doles,8060000
807,Daniel Dykes,8070000
808,Margaret Edmonds,8080000
809,Kent Merritt,8090000
810,Florence Jackson,8100000
811,Della Brooks,8110000
812,Tracey Castilla,8120000
813,Ollie Johnson,8130000
814,Erica Winston,8140000
815,Patricia Walden,8150000
816,Michael Gutierrez,8160000
817,Ricky Choate,8170000
818,Hattie Bryant,8180000
819,Larry Wilson,8190000
820,Marcella Quezad,8200000
821,Lorraine Corporan,8210000
822,Tyler Main,8220000
823,Teresa Neiman,8230000
824,Daniel Nixon,8240000
825,Kenneth Hammond,8250000
826,Gene Morber,8260000
827,Edward Winbush,8270000
828,Mark Sidney,8280000
829,Susanna Coffman,8290000
830,Kevin Hux,8300000
831,George Anderson,8310000
832,James Pacheco,8320000
833,Michael Lenhart,8330000
834,Troy Rankin,8340000
835,Leo Porras,8350000
836,Edith Montgomery,8360000
837,John Andren,8370000
838,Anthony Bennett,8380000
839,Brenda Johnson,8390000
840,Jason Nelson,8400000
841,Jose Jones,8410000
842,Mario Griffin,8420000
843,Laura Figueroa,8430000
844,James Tapia,8440000
845,Chi Wright,8450000
846,Randall Reed,8460000
847,Renee Gardiner,8470000
848,Elvis Urrutia,8480000
849,Dylan Coy,8490000
850,Chester Tarr,8500000
851,Kathy Mainor,8510000
852,Warren Munden,8520000
853,Angela Lahay,8530000
854,Terry Nichols,8540000
855,Gladys Musielak,8550000
856,Julie Dixon,8560000
857,Susan Weinberg,8570000
858,Michael Parris,8580000
859,Xavier Ronning,8590000
860,Jane Scott,8600000
861,Theodore Torres,8610000
862,Elizabeth Drake,8620000
863,Joseph Chase,8630000
864,Joyce Means,8640000
865,Kevin Anderman,8650000
866,John Amenta,8660000
867,Elizabeth Renninger,8670000
868,Abraham Sulla,8680000
869,Cheryl Cusano,8690000
870,William Hamilton,8700000
871,James Dennis,8710000
872,Christine Koeppen,8720000
873,Rachele Underwood,8730000
874,Patrick Brunelle,8740000
875,Marilyn Yost,8750000
876,Charles Borel,8760000
877,Gregory Bowles,8770000
878,John Ashley,8780000
879,Jennifer Lopez,8790000
880,Kum Freeman,8800000
881,Denise Nelson,8810000
882,Carolyn Wilson,8820000
883,Emerson Williams,8830000
884,Patricia Holman,8840000
885,Margaret Berganza,8850000
886,Linda Smith,8860000
887,Garrett Green,8870000
888,Paul Wilson,8880000
889,Ralph Suiter,8890000
890,Stephen Rivera,8900000
891,Dwayne Burke,8910000
892,Jimmy Caraballo,8920000
893,Marion Skow,8930000
894,Steven Rowland,8940000
895,Goldie Green,8950000
896,Edward Bernardo,8960000
897,John Wood,8970000
898,Hazel Spomer,8980000
899,Bonnie Langley,8990000
900,Randi Foster,9000000
901,Wendell Mahoney,9010000
902,Laura Huslander,9020000
903,Tammy Marker,9030000
904,Corey Hanley,9040000
905,Tammy Hall,9050000
906,Preston Hymel,9060000
907,Jean Price,9070000
908,Lawrence Handley,9080000
909,Kelly Beaver,9090000
910,Troy Westberg,9100000
911,Lillian Jessop,9110000
912,Roger Hachey,9120000
913,Veronica George,9130000
914,Stephen Rios,9140000
915,Robert Palmer,9150000
916,James Drawdy,9160000
917,Joseph Roach,9170000
918,Joyce Williamson,9180000
919,Bradley Hargrove,9190000
920,Roberta Ansel,9200000
921,Dan Thompson,9210000
922,John Wendt,9220000
923,Jason Parker,9230000
924,George Bedford,9240000
925,Martha Butt,9250000
926,Willie Marple,9260000
927,Timothy Hughey,9270000
928,Pauline Boman,9280000
929,Joshua Began,9290000
930,Henry Hunt,9300000
931,Julie Fitzgerald,9310000
932,Laura Holt,9320000
933,Alvin Abell,9330000
934,Robbie Nussbaum,9340000
935,Sheryl White,9350000
936,William Bautista,9360000
937,Carmen Thomas,9370000
938,Maria Perez,9380000
939,Roy Scipioni,9390000
940,Amanda Gilchrist,9400000
941,Michelle Thompson,9410000
942,Sean Cruz,9420000
943,Don Heiniger,9430000
944,Sadie Holifield,9440000
945,Rebecca Peterson,9450000
946,Lee Bozell,9460000
947,Nettie Shea,9470000
948,Rosie Karge,9480000
949,Charity Mejia,9490000
950,Marjorie Hernandez,9500000
951,William Joyce,9510000
952,John Hoerner,9520000
953,Carol Glenn,9530000
954,George Lard,9540000
955,Nichol Masterson,9550000
956,Anthony Constantine,9560000
957,Naomi Antonio,9570000
958,Jerome Marion,9580000
959,John Zavala,9590000
960,George Mohammed,9600000
961,Mirian Estrella,9610000
962,Ryan Herrera,9620000
963,Emma Stahl,9630000
964,Michael Gehringer,9640000
965,Leonardo Smith,9650000
966,Chris Misfeldt,9660000
967,Betty Putt,9670000
968,Mary Guerin,9680000
969,Annette Garrison,9690000
970,Jennifer Mcbride,9700000
971,Tammy Adams,9710000
972,Blanca Watts,9720000
973,June Wright,9730000
974,Judy Howard,9740000
975,Boris Garrett,9750000
976,Delana Cody,9760000
977,James Brazil,9770000
978,Timothy Kim,9780000
979,Pamela Couture,9790000
980,Paul Cox,9800000
981,Ernest Alverez,9810000
982,Matthew Lee,9820000
983,Katherine Salmon,9830000
984,Michael Villalta,9840000
985,Floyd Hendrix,9850000
986,Shawn Broun,9860000
